| # | Original Chinese (syllables) | English translation (syllables) |
|---|------------------------------|--------------------------------|
| 1 | 遠處蔚藍天空下 (7) | **Under distant azure sky** (7) |
| 2 | 湧動著金色的麥浪 (8) | **Golden waves of wheat are rising** (8) |
| 3 | 就在那裡曾是你和我 (9) | **There we once stood, just you and I still** (9) |
| 4 | 愛過的地方 (5) | **The place we once loved** (5) |
| 5 | 當微風帶著收穫的味道 (10) | **When breezes bring the soft scent of harvest** (10) |
| 6 | 吹向我臉龐 (5) | **Blowing to my face** (5) |
| 7 | 想起你輕柔的話語 (8) | **I recall your gentle soft words** (8) |
| 8 | 曾打濕我眼眶 (6) | **They made my eyes grow wet** (6) |
| 9 | 我們曾在田野裡歌唱 (9) | **We sang together in the bright fields** (9) |
|10| 在冬季盼望 (5) | **In winter we hoped** (5) |
|11| 卻沒有等到陽光下 (8) | **But we never saw the bright sun** (8) |
|12| 這秋天的景象 (6) | **This autumn's quiet scene** (6) |
|13| 就讓失散的誓言飛舞吧 (10) | **Let scattered vows take wing and rise to sky** (10) |
|14| 隨西風飄蕩 (5) | **With the west wind they** (5) |
|15| 就像你柔軟的長髮 (8) | **Like your soft, gentle, flowing hair** (8) |
|16| 曾芬芳我夢鄉 (6) | **Your soft scent filled my dream** (6) |
